path,dtype,fill_pct,distinct_count,sample_value
attributes.tags,VARCHAR[],100.0,7845,"[26ocakrusx, 10sbtplgnl, 10sbtmkyj, 12sbtsys, 16sbtgnlgc, 16sbtmkygc, 18sbtplgc, 11mrtpl60, 11mrtsys, 18mrtgnl, 18mrtmky"
attributes.taxCode,VARCHAR,100.0,3,20
attributes.temizlikFircasi,VARCHAR,0.1,2,Yok
attributes.tip,VARCHAR,7.4,18,Kağıt
attributes.toplamAdet,VARCHAR,2.8,63,20 Adet
attributes.tur,VARCHAR,0.0,4,Sıvı Çamaşır Sabunu
attributes.tutuculukSertlik,VARCHAR,0.5,7,3
attributes.urunCesidi,VARCHAR,0.1,11,Ayakkabı Şampuanı
attributes.urunSerisi,VARCHAR,0.5,38,Simply
attributes.urunTipi,VARCHAR,16.9,174,Asansörsüz
attributes.urunTuru,VARCHAR,1.8,42,Tütsü
attributes.videos,VARCHAR,5.4,394,https://www.youtube.com/watch?v=b-9u-OjzWRg
attributes.volumeVariant,VARCHAR,0.5,16,15 ml
attributes.yalitimSuresi,VARCHAR,0.2,3,9 Saat Sıcak / 24 Saat Soğuk
attributes.yikamaSayisi,VARCHAR,0.0,4,10 Yıkama
attributes.yikanabilir,VARCHAR,0.2,2,Elde Yıkama
attributes.zmensei,VARCHAR,97.9,61,Çin
attributes.ztedarik,VARCHAR,98.3,435,<b>Satıcının İsmi:</b> İnnohealth İmpex Dış Ticaret Ltd. Şti.<br><b>Kayıtlı Ticari Ünvan:</b> İnnohealth İmpex Dış Ticar
badgeDescription,VARCHAR,100.0,1,
badges,"STRUCT(""type"" VARCHAR, ""text"" VARCHAR, image VARCHAR, ""position"" VARCHAR, keyword VARCHAR)[]",100.0,18,"[{'type': erp, 'text': '', 'image': '', 'position': '', 'keyword': isPL}, {'type': erp, 'text': '', 'image': '', 'positi"
bannerTextOne,VARCHAR,100.0,1,
bannerTextTwo,VARCHAR,100.0,1,
bannerTexts,JSON[],100.0,1,[]
id,VARCHAR,100.0,13111,10209536
imageUrls,"STRUCT(fileUrl VARCHAR, fileName VARCHAR)[]",100.0,13111,"[{'fileUrl': 'https://api.gratis.retter.io/1oakekr4e/CALL/Image/getImage/10209536-PvgEzV0fNU-01_1024x1024.jpg', 'fileNam"
images,"STRUCT(id VARCHAR, fileName VARCHAR)[]",100.0,4482,[]
isActive,BOOLEAN,100.0,1,true
prices.currency,VARCHAR,100.0,1,TRY
prices.discountRate,BIGINT,100.0,81,0
